image_name	GFP_hand	wt_hand
X400x534-2m2	186	140
X402x534-2m3	261	192
X401x534-2m4	165	168
X403x534-3m1	241	294
X403x535A-1m1	166	167
X402x535A-2m1	234	197
X401x535A-4m2	169	170
X403x535A-4m3	1942	1772
X401x512B-1m1	227	300
X401x512B-2m1	173	214
X400x512BL-2m1	162	147
X400x512BL-2m2	117	110
X403x581-3m1	241	218
X403x581-6m1	257	230
X401x552AL-1m1	27	291
X402x552AL-1m3	25	263
X400x552AL-11m2	11	214
X400x552AL-11m1	1	28
X400x552AL-11m4	1	19
X400x552AL-11m3	3	50
X400x552AL-3m2	15	144
X401x552AL-3m3	10	96
X401x552AL-4m1	9	106
X403x552AL-7m1	21	236
X400x552AL-8m1	0	2
X400x552AL-8m3	1	32
X400x552AL-8m4	0	3
X400x552AL-8m5	0	1
X400x554A-2m1	3	169
X400x554A-4m1	7	176
X400x554A-4m2	3	66
X400x554A-4m3	0	18
X400x554A-4m4	0	23
X403x555A-3m1	8	213
X401x555A-4m1	7	135
X540-1x400	124	98
X540-2xx	245	214
X540-3x400	187	209
X540-4xx	288	252
X541A-1x543-2	162	192
X541A-2xx	227	204
X541A-3xx	221	165
X541-4x401	238	228
X541A-5x543-6	121	115
X541B-1xx	0	448
X542-1x403	184	193
X542-2xx	237	200
X542-3xx	260	247
X542-4x543-3	133	163
X542-5x130	63	79
X542-8x130	52	62
X543-1xx	117	81
X543-2xx	223	0
X543-4xx	140	0
X543-5xx	181	177
X543-6xx	350	0
X544-1xx	162	158
X545-1xx	108	139
X546-1xx	71	81
X546-3xx	116	205
X546-4xx	82	116
X547-1xx	167	73
X548A-1xx	143	130
X548A-2xx	161	48
X548A-3xx	118	105
X548A-4xx	48	14
X548A-5x130	70	148
X548A-8xx	156	99
X548B-2xx	88	117
X549A-1xx	157	132
X549A-2xx	240	96
X549A-3xx	145	57
X549A-4xx	189	161
X549B-10xx	28	162
X549B-2xx	69	198
X549B-3xx	62	68
X549B-4xx	145	112
X549B-5xx	131	139
X549B-8xx	133	159
X550A-02xx	2	1
X550A-03xx	122	129
X550A-08xx	71	26
X550A-09xx	162	120
X550A-10xx	173	173
X550A-11xx	137	163
X550B-13xx	134	146
X550B-2xx	119	158
X550B-4xx	53	65
X550B-5xx	34	20
X550B-6xx	129	152
X551A-1xx	280	78
X551A-3xx	162	99
X551B-1xx	32	11
X551B-2xx	85	179
X552AL-1x402	273	261
X552AL-2x402	179	211
X552AL-3x402	240	235
X552AL-4x402	248	232
X552AL-5x402	250	283
X552AL-6x402	275	223
X552AL-6xx	155	127
X552AL-7xx	181	141
X552AL-8x402	265	256
X554A-2x400	93	96
X554A-3x400	191	199
X554A-4x400	211	236
X555A-1x400	192	202
X555A-3x403	248	264
X555A-4x401	254	241
X568AL-4x402	254	242
X569AL-2x400	257	289
X570AL-1x400	172	190
X570AL-4x400	224	246
X571A-1x402	249	249
X571A-2x400	228	264
X571B-1x402	229	211
X572A-4x400	270	266
X572A-5x400	267	255
X572B-4x400	305	323
X573B-2x410L	48	53
X573B-5x410	154	189
X573B-6x410	90	108
X573B-7x410	96	110
X573C-6x410	170	155
X574-2x400	296	0
X575-1x400	400	0
X577-1x400	644	0
Y14-2x1	200	223
Y17-4x1	235	225
Y18-5x1	256	239
Y19-2x1	181	170
Y25-2x1	247	233
Y32-5x1	234	255
Y36-1x1	293	272
Y36-4x1	155	132
Y37-1x1	259	274
Y39-1x1	200	188
Y42-7x1	232	239
Y43-3x1	277	283
Y54-3x1	66	68
Y62-2x1	258	239
Y67G-2x1	298	292
Y68-2x1	293	286
Y70-1x1	239	266
Y73-1x1	141	147
Y74G-3x1	232	239
Y75-2x1	246	239
Y75-4x1	249	236
Y76-1x1	219	220
Y80-1x1	246	291
Y82-7x1	240	234
Y82-8x1	190	157
Y82-10x1	277	314
Y84-1x1	210	224
Y85-1x1	286	267
Y85-4x1	98	101
Y85-5x1	320	271
Y85-6x1	204	190
Y86-1x1	276	246
Y86-2x1	226	229
Y86-4x1	334	320
Y2x10-7	119	110
Y2x11-1	253	236
Y2x14-2	104	92
Y2x14-6	136	166
Y2x15-2	310	292
Y2x17-4	210	233
Y2x18-2	195	203
Y2x20-6?	225	223
Y2x23-1	227	225
Y2x28B-1	111	111
Y2x29B-1	276	241
Y2x29B-2	150	212
Y2x29B-3	149	180
Y2x29B-4	245	273
Y2x29B-5	189	236
Y2x29B-6	85	107
Y2x36-1	226	213
Y2x36-2	166	210
Y2x36-3	278	270
Y2x36-4	236	191
Y2x37-1	132	148
Y2x37-3	162	185
Y2x37-4	229	214
Y2x37-5	178	224
Y2x37-6	145	140
Y2x38-1	225	248
Y2x38-2	212	222
Y2x38-3	82	54
Y2x38-5	163	158
Y2x39-1	196	237
Y2x39-2	229	231
Y2x39-3	174	205
Y2x39-4	162	150
Y2x40-1	175	156
Y2x40-2	191	191
Y2x40-3	194	221
Y2x40-5	157	218
Y2x41B-1	216	179
Y2x41B-2	205	201
Y2x41B-4	127	123
Y2x41B-5	177	190
Y2x41B-6	83	121
Y2x42-1	171	155
Y2x42-2	144	200
Y2x42-3	281	257
Y2x42-4	152	175
Y2x42-5	158	140
Y2x42-7	237	274
Y2x45-2	261	234
Y2x46-3	178	191
Y2x51-1	157	164
Y2x51-2	63	67
Y2x51-3	155	162
Y2x51-4	174	191
Y2x51-6	169	208
Y2x52-1	226	255
Y2x52-3	266	267
Y2x55-5	103	92
Y2x66-3	168	150
Y2x66-7	211	234
Y2x68-1	89	116
Y2x70-1	209	179
Y2x70-2	169	190
Y2x70-3	280	221
Y2x70-5	131	163
Y2x70-6	194	157
Y2x71-2	148	180
Y2x71-5	130	141
Y2x71-6	257	280
Y2x81-1	99	98
Y2x82-8	180	178
Y2x85-1	194	204
Y2x85-4	167	194
Y2x85-5	169	204
Y2x85-6	171	213
Y2x86-1	263	294
Y2x86-2	254	306
Y2x86-3	209	227
Y2x86-4	249	195
Y2x86-5	164	153
Y2x86G-1	89	103
Y2x86G-2	145	130
Y2x87-1	101	290
Y2x87-2	52	196
Y2x87-3	86	247
Y2x87-4	71	196
Y2x87-5	35	208
Y2x87-6	46	246
Y2x87-8	96	179
Y2x88-1	202	206
Y2x88-3	213	204
Y2x88-4	213	228
Y2x89-4	169	205
Y200-3x1	254	290
Y202-1x1	228	230
Y204-5x1	182	187
Y207-1x1	223	238
Y207G-3x1	174	177
Y209-4x1	221	215
Y210-3x1	233	275
Y210-7x1	230	255
Y211-6x1	157	202
Y213-1x1	231	249
Y214-4x1	298	270
Y215-6x1	188	192
Y215-9x1	233	242
Y218-1x1	179	198
Y219-4x1	141	129
Y220-1x1	221	211
Y220-3x1	225	170
Y220-5x1	246	233
Y220-6x1	221	210
Y220-7x1	148	154
Y222-1x1	164	172
Y223-5x1	223	228
Y224-4x1	189	204
Y226-7x1	234	229
Y229-1x1	195	234
Y231-2x1	280	270
Y232-2x1	187	198
Y2x200-1	233	246
Y2x200-3	207	210
Y2x200-4	219	213
Y2x200-6	224	226
Y2x201-1	221	242
Y2x201-2	62	68
Y2x201-3	133	144
Y2x201-4	82	95
Y2x202-1	171	153
Y2x202-5	172	173
Y2x202-7	96	92
Y2x202-8	187	182
Y2x202-9	231	268
Y2x203-1	257	233
Y2x203-2	159	175
Y2x203-3	183	176
Y2x203-5	242	238
Y2x203-7	129	119
Y2x204-5	181	185
Y2x207-3	158	208
Y2x207G-2	219	264
Y2x210-2	213	244
Y2x212-1	210	247
Y2x213-1	211	199
Y2x213-4	313	313
Y2x213-6	275	247
Y2x214-1	122	223
Y2x215-6	208	239
Y2x216-1	232	246
Y2x219-2	136	197
Y2x219-7	101	122
Y2x220-1	38	119
Y2x220-3	12	439
Y2x220-5	52	368
Y2x220-6	9	256
Y2x220-7	1	187
Y2x221-1	4	237
Y2x221-2	25	209
Y2x222-2	35	390
Y2x225-2	104	94
Y2x225-3	210	238
Y2x226-2	149	145
Y2x227-4	228	228
Y2x230-1	220	216
Y2x232-1	198	252
Y2x232-2	75	110
Y2x232-3	152	182
Y2x232-4	178	204
Y2x232-5	173	191
Y2x232-6	211	248
Y404-1x2	148	161
Y412-3x2	224	233
Y414-3x2	85	93
Y414-4x2	198	207
Y415A-1x1	158	168
Y416-1x1	127	110
Y422-1x1	132	148
Y435-2x1	146	149
Y436-1x1	137	146
Y441-4x1	48	72
Y441-5x1	77	75
Y450-1x1	135	156
Y454-2x1	194	34
Y466-3x1	72	73
Y1x400-1	172	173
Y1x402-1	201	173
Y1x402-2	180	169
Y1x402-3	245	211
Y1x403-2	212	183
Y1x404-4	213	175
Y1x404-5	148	153
Y1x405-2	228	201
Y1x407-1	104	119
Y1x407-3	138	148
Y1x408-1	180	184
Y1x408-5	210	184
Y1x410-5	142	143
Y1x411-1	142	142
Y1x411-5	139	100
Y2x412-3	212	201
Y1x412-5	160	178
Y1x414-3	158	194
Y1x414-4	178	233
Y1x414-5	184	215
Y2x417-2	216	192
Y2x418-2	228	235
Y2x421-1	209	186
Y2x422-1	192	202
Y2x423-3	220	221
Y2x425-3	181	217
Y2x426-2	180	193
Y2x426-3	181	188
Y2x426-4	222	197
Y1x450-1	150	160
Y1x450-3	184	174
Y1x450-4	207	212
Y1x450-5	121	115
